"site","slice_start","slice_end","p_occupied"
"Egli",1400,1450,0.1945
"Engelbert",1400,1450,0.44375
"Fortin",1400,1450,0.02725
"Gardepe",1400,1450,0.01475
"Herrick Hollow I",1400,1450,0.019
"Herrick Hollow II",1400,1450,5e-04
"Herrick Hollow V",1400,1450,0.0155
"Jamba",1400,1450,0.757
"Lamb",1400,1450,0.5415
"Lamoree",1400,1450,0.02325
"Lords_Wells",1400,1450,5e-04
"Otsiningo_Market",1400,1450,0.18475
"Owego River Crossing",1400,1450,0.35425
"Owego Southside Sewage Treatment",1400,1450,0.6235
"PC2",1400,1450,0.812
"Port Dickinson",1400,1450,0
"Raish-2",1400,1450,0.467
"Roberson",1400,1450,0.00475
"Roundtop",1400,1450,0.96475
"Russ",1400,1450,0.03225
"Sidney Airport",1400,1450,0.0475
"Street",1400,1450,0.0015
"Thomas_Luckey",1400,1450,1
"White",1400,1450,0.0265
"Apalachin Creek",1450,1500,0.10725
"Ayers1",1450,1500,0.00075
"Bates",1450,1500,0.00175
"Broome_Tech",1450,1500,0.12925
"Castle Creek",1450,1500,0.28225
"CCE_Site",1450,1500,0.98825
"Chenango_Point",1450,1500,0.9625
"Chenango_Shores_East",1450,1500,0.01125
"Denton Reed 2",1450,1500,0
"Deposit_Airport1",1450,1500,5e-04
"Egli",1450,1500,0.13025
"Engelbert",1450,1500,0.5705
"Fortin",1450,1500,0.03125
"Gardepe",1450,1500,0.011
"Herrick Hollow I",1450,1500,0.01175
"Herrick Hollow II",1450,1500,0.00025
"Herrick Hollow V",1450,1500,0.009
"Jamba",1450,1500,0.751
"Lamb",1450,1500,0.7275
"Lamoree",1450,1500,0.0165
"Lords_Wells",1450,1500,0
"Otsiningo_Market",1450,1500,0.0195
"Owego River Crossing",1450,1500,0.103
"Owego Southside Sewage Treatment",1450,1500,0.74875
"PC2",1450,1500,0.23
"Port Dickinson",1450,1500,0
"Raish-2",1450,1500,0.32175
"Roberson",1450,1500,0.00325
"Roundtop",1450,1500,0.94925
"Russ",1450,1500,0.09925
"Sidney Airport",1450,1500,0.1865
"Street",1450,1500,0.00075
"Thomas_Luckey",1450,1500,0.994
"White",1450,1500,0.0195
"Apalachin Creek",1500,1550,0.19675
"Ayers1",1500,1550,0
"Bates",1500,1550,0
"Broome_Tech",1500,1550,0.05175
"Castle Creek",1500,1550,0.1335
"CCE_Site",1500,1550,0.94725
"Chenango_Point",1500,1550,0.94275
"Chenango_Shores_East",1500,1550,0.006
"Denton Reed 2",1500,1550,0
"Deposit_Airport1",1500,1550,0
"Egli",1500,1550,0.07975
"Engelbert",1500,1550,0.393
"Fortin",1500,1550,0.0305
"Gardepe",1500,1550,0.00975
"Herrick Hollow I",1500,1550,0.00775
"Herrick Hollow II",1500,1550,0
"Herrick Hollow V",1500,1550,0.0075
"Jamba",1500,1550,0.28975
"Lamb",1500,1550,0.40625
"Lamoree",1500,1550,0.01175
"Lords_Wells",1500,1550,0
"Otsiningo_Market",1500,1550,0.00275
"Owego River Crossing",1500,1550,0.0255
"Owego Southside Sewage Treatment",1500,1550,0.447
"PC2",1500,1550,0.03075
"Port Dickinson",1500,1550,0
"Raish-2",1500,1550,0.172
"Roberson",1500,1550,0.00225
"Roundtop",1500,1550,0.78775
"Russ",1500,1550,0.226
"Sidney Airport",1500,1550,0.45075
"Street",1500,1550,0
"Thomas_Luckey",1500,1550,0.23425
"White",1500,1550,0.01625
"Apalachin Creek",1550,1600,0.288
"Ayers1",1550,1600,0
"Bates",1550,1600,0
"Broome_Tech",1550,1600,0.01425
"Castle Creek",1550,1600,0.06475
"CCE_Site",1550,1600,0.84625
"Chenango_Point",1550,1600,0.68675
"Chenango_Shores_East",1550,1600,0.00225
"Denton Reed 2",1550,1600,0
"Deposit_Airport1",1550,1600,0
"Egli",1550,1600,0.05425
"Engelbert",1550,1600,0.24875
"Fortin",1550,1600,0.02
"Gardepe",1550,1600,0.00875
"Herrick Hollow I",1550,1600,0.00525
"Herrick Hollow II",1550,1600,0
"Herrick Hollow V",1550,1600,0.00375
"Jamba",1550,1600,0.06125
"Lamb",1550,1600,0.18025
"Lamoree",1550,1600,0.0085
"Lords_Wells",1550,1600,0
"Otsiningo_Market",1550,1600,0.00025
"Owego River Crossing",1550,1600,0.00475
"Owego Southside Sewage Treatment",1550,1600,0.1995
"PC2",1550,1600,0.007
"Port Dickinson",1550,1600,0
"Raish-2",1550,1600,0.1065
"Roberson",1550,1600,0.0015
"Roundtop",1550,1600,0.347
"Russ",1550,1600,0.3065
"Sidney Airport",1550,1600,0.56425
"Street",1550,1600,0
"Thomas_Luckey",1550,1600,0.01025
"White",1550,1600,0.01125
"Apalachin Creek",1600,1650,0.57675
"Ayers1",1600,1650,0
"Bates",1600,1650,0
"Broome_Tech",1600,1650,0.00525
"Castle Creek",1600,1650,0.04425
"CCE_Site",1600,1650,0.78975
"Chenango_Point",1600,1650,0.155
"Chenango_Shores_East",1600,1650,0.001
"Denton Reed 2",1600,1650,0
"Deposit_Airport1",1600,1650,0
"Egli",1600,1650,0.04
"Engelbert",1600,1650,0.1625
"Fortin",1600,1650,0.0115
"Gardepe",1600,1650,0.0075
"Herrick Hollow I",1600,1650,0.004
"Herrick Hollow II",1600,1650,0
"Herrick Hollow V",1600,1650,0.00375
"Jamba",1600,1650,0.01125
"Lamb",1600,1650,0.09575
"Lamoree",1600,1650,0.011
"Lords_Wells",1600,1650,0
"Otsiningo_Market",1600,1650,0.00025
"Owego River Crossing",1600,1650,0.00075
"Owego Southside Sewage Treatment",1600,1650,0.08
"PC2",1600,1650,0.003
"Port Dickinson",1600,1650,0
"Raish-2",1600,1650,0.07575
"Roberson",1600,1650,5e-04
"Roundtop",1600,1650,0.11625
"Russ",1600,1650,0.3135
"Sidney Airport",1600,1650,0.46875
"Street",1600,1650,0
"Thomas_Luckey",1600,1650,0
"White",1600,1650,0.0065
"Apalachin Creek",1650,1700,0.6295
"Ayers1",1650,1700,0
"Bates",1650,1700,0
"Broome_Tech",1650,1700,0.00125
"Castle Creek",1650,1700,0.02625
